,routeID,MAE,MSE,RMSE,R2,range,running_time
75,41C,19.319514640508242,19.319514640508242,29.194673200835492,0.7637947866363786,44654,24.17682409286499
76,41D,30.642856037151702,30.642856037151702,83.55148618972073,0.089143492249254,1075,0.1707468032836914
77,41X,37.738995130790414,37.738995130790414,78.0437711414771,0.919971854384408,3920,1.0828299522399902
78,42,15.862529669473991,15.862529669473991,24.009599997633284,0.6299214885803951,41142,18.56961989402771
79,42D,19.142580645161292,19.142580645161292,36.570185282725916,0.8868121797343045,1547,0.23986601829528809
80,43,17.870225767497722,17.870225767497722,28.56749714086189,0.5366668892020017,36211,16.063157081604004
81,44,20.522824024130284,20.522824024130284,32.648204887074584,0.6577862290543048,55175,46.0510778427124
82,44B,19.282045026536554,19.282045026536554,31.66387708419164,0.40100269349606865,6487,1.2039198875427246
83,45A,15.869798360679873,15.869798360679873,23.812105002181404,0.6481799620838464,43125,26.100127935409546
84,46A,24.07714240257336,24.07714240257336,37.840909486129966,0.6274830244464595,48013,35.5307457447052
85,46E,34.405675,34.405675,51.669732431858606,0.5387080879492179,1331,0.1425023078918457
86,47,20.84830839829017,20.84830839829017,35.15909245716424,0.512952481030871,39769,20.79956603050232
87,49,21.879524130717247,21.879524130717247,34.8841349661461,0.6544852620461652,32737,11.796428918838501
88,51D,25.831535604056437,25.831535604056437,47.441737864053785,0.7545442475810277,3600,1.0805811882019043
89,51X,27.333746130030956,27.333746130030956,41.04622083191148,0.8258131346585929,1075,0.12930607795715332
90,53,25.7112180273021,25.7112180273021,44.215063039206015,0.614356496659596,12427,2.118846893310547
91,54A,21.739678038328734,21.739678038328734,35.85110228864668,0.6558318076640138,31090,9.251806020736694
92,56A,21.114477695487427,21.114477695487427,35.638463271026644,0.5190623005025419,38704,18.187674283981323
93,59,11.558445466279446,11.558445466279446,17.21897773702933,0.660499327545274,17216,3.1895487308502197
94,61,20.037275826964915,20.037275826964915,31.155167115688528,0.6534605940006585,34146,13.809676170349121
95,63,19.3114803560313,19.3114803560313,32.59385316808792,0.7327789878549749,28558,10.119614839553833
96,65,14.89091589952398,14.89091589952398,25.870887847783948,0.7454691408903533,56486,52.30867099761963
97,65B,18.251675796747328,18.251675796747328,32.16988268407055,0.6805617964487138,42289,19.86345410346985
98,66,20.082199671996722,20.082199671996722,33.502048284457445,0.73113332684939,40647,18.263737201690674
99,66A,19.307000376299946,19.307000376299946,32.57357082193145,0.7139430363546291,32477,11.705037117004395
100,66B,19.559765884133576,19.559765884133576,35.48213427952963,0.682106317365391,34503,12.812748908996582
101,66X,30.672278747945132,30.672278747945132,50.79270452749248,0.7059821321472015,5888,2.4200520515441895
102,67,17.00520257186494,17.00520257186494,29.22258900111348,0.7220369170546546,49470,29.912360906600952
103,67X,30.956553648583775,30.956553648583775,53.285286236491785,0.6745215228206354,6941,3.217777967453003
104,68,16.894378265089102,16.894378265089102,28.138265942727607,0.6702928071787,53809,43.829087018966675
105,68A,33.151544965411226,33.151544965411226,50.638404908931506,0.5862745694179139,4334,0.5449512004852295
106,68X,40.19330065359477,40.19330065359477,76.00757782783833,0.5597201731177497,1020,0.09481215476989746
107,69,18.054605715319227,18.054605715319227,30.88965166354861,0.6344742589962994,43002,23.4124538898468
108,69X,45.34672131147541,45.34672131147541,71.7669850519208,0.811704185187948,811,0.1021721363067627
109,7,25.260462165635488,25.260462165635488,47.620683638592844,0.6385372034150223,41251,20.9875648021698
110,70,24.42540783223265,24.42540783223265,46.98027420519654,0.7317120932824018,32879,10.30540680885315
111,70D,28.26054481546573,28.26054481546573,52.57336287686738,0.8312076987296536,1894,0.34914207458496094
112,75,16.984100394670246,16.984100394670246,25.09058191444986,0.6293352594786008,61990,56.82666778564453
113,76,21.183209965568764,21.183209965568764,33.38256480358908,0.6377452910240069,24431,6.1409220695495605
114,76A,30.928075396825395,30.928075396825395,56.84441393693257,0.71482264444179,6719,1.4149940013885498
115,77A,22.176063709167867,22.176063709167867,37.34389959583707,0.35804526526911884,53674,34.90648007392883
116,77X,27.92806513409962,27.92806513409962,48.733670366540586,0.6542774189773861,1739,0.25817012786865234
117,79,18.73815134704271,18.73815134704271,30.266414273369243,0.6665483190927967,22253,5.240082025527954
118,79A,18.125784632867774,18.125784632867774,29.45017916982285,0.6745382102547859,21647,5.077360153198242
119,7A,20.795553400795658,20.795553400795658,33.553509515882915,0.6857675115530038,46162,24.821974992752075
120,7B,26.549615722441807,26.549615722441807,42.13433494328277,0.6651869608272485,5059,1.3039727210998535
121,7D,24.53235090152566,24.53235090152566,59.83190718046346,0.5723265827477144,4805,1.6989901065826416
122,83,20.308532331215677,20.308532331215677,32.352021720558156,0.6933421472533825,50518,32.46262001991272
123,83A,18.52893382031926,18.52893382031926,28.344204800794525,0.7325936101207147,39993,22.6218478679657
124,84,17.07520734819892,17.07520734819892,32.93833463244245,0.6593314177660423,65857,75.95140409469604
125,84A,23.28459899613341,23.28459899613341,40.46794511269288,0.6156520547414129,15351,5.570846080780029
126,84X,31.14134819139194,31.14134819139194,56.81651601372987,0.7549287954433764,8666,2.4583091735839844
127,9,20.72836366199278,20.72836366199278,31.313287919270092,0.6393099896272024,47669,27.858088970184326
