,routeID,range,RF_RMSE,RF_R2,XGB_RMSE,XGB_R2,LGBM_RMSE,LGBM_R2,running_time
53,32X,3583,45.63257720872879,0.8049945067336043,44.050421791902544,0.8182823995422743,55.66734729266115,0.70979966875177,7.094807863235474
54,33,79606,24.628918252236378,0.7139590256008576,24.52284888012217,0.7164175057660517,31.517461269537936,0.5315750382928524,298.6841869354248
55,33A,25996,22.55396241565918,0.7440334638493595,21.810082669292548,0.7606397057125335,26.023323877254462,0.6592286927131789,35.237387895584106
56,33B,18643,56.81374738547522,0.6591880036912501,55.812687474186966,0.6710924282776791,57.329575086934966,0.6529712569915223,39.34067988395691
57,33D,929,60.08848791514324,0.9672421591263656,65.04748697943847,0.9616121522431509,316.11351465418704,0.09339346563107209,2.4080910682678223
58,33X,7475,39.51134390958014,0.9508766983594498,39.42895865514122,0.9510813391567341,42.28117604391244,0.9437479877760971,32.825531005859375
59,38,43192,38.35009085448971,0.7076391543954856,36.838640572676866,0.7302300286629666,41.74406660651392,0.6536015624542413,108.3355040550232
60,38A,34835,41.61117224392641,0.7502003036819319,39.126998886134324,0.7791359249999688,44.72722542004926,0.7113869786107662,76.35858988761902
61,38B,6374,42.061926705313226,0.6985728309935706,42.661630426607275,0.689916277935078,46.29182268442857,0.6348993282412785,13.421044826507568
62,38D,1525,40.80850275837025,0.9225568323442853,42.86466764112762,0.9145561698737141,125.04435142421134,0.27287354952936993,1.9791498184204102
63,39,56407,29.965330874705224,0.6815674753005434,28.962271917951142,0.7025290786918927,35.45772738069188,0.554137385521264,222.7985339164734
64,39A,54153,34.80684559089983,0.7427347184732196,33.60162471998571,0.7602423892352501,38.748379487360324,0.6811701779591084,340.63570284843445
65,39X,2451,80.15105317757602,0.6117522181148475,82.7946882176012,0.5857185699760397,90.64840055449439,0.5033953202958837,5.548367977142334
66,4,42804,33.77438313923185,0.6822288345125735,31.64302497847893,0.7210697452480795,37.29867581708625,0.6124511408691475,192.7626690864563
67,40,63264,29.556970473746887,0.7295617096371356,28.927001022768916,0.7409669565778478,36.369225406856074,0.5905353167649867,425.6193971633911
68,40B,14569,29.425286812598113,0.6833700511278447,28.480408571252337,0.7033782368970054,31.183697790735163,0.6443966797259277,23.6429660320282
69,40D,33387,25.67686599181802,0.6850988573231895,24.3979342004295,0.7156872611917251,29.227169403371555,0.5919966573852364,100.36195302009583
70,40E,18690,22.460067532330903,0.8618135694978506,21.966936216907126,0.8678149738680281,22.827801142374877,0.8572515357784589,13.351012945175171
71,41,42430,30.606590438052073,0.7078457654889472,29.703196210151027,0.7248378783807841,36.50386870121243,0.5844148040634172,218.38427591323853
